Designator,Mid X,Mid Y,Rotation,Layer
C2,162.872908,-134.335272,0.0,top
C6,152.872908,-120.710272,0.0,top
C7,142.172908,-120.710272,0.0,top
C8,130.472908,-132.435272,0.0,top
D1,164.772907,-131.435272,0.0,top
D4,164.67290838789307,-122.53527161210692,315.0,bottom
J1,149.372908,-135.182772,0.0,bottom
Q1,166.272908,-126.135272,270.0,top
R10,163.672908,-126.635272,90.0,top
R11,167.672908,-123.535272,90.0,top
R12,166.272908,-134.235272,0.0,top
R6,147.172908,-119.135272,90.0,top
R7,149.472908,-118.335272,180.0,top
R8,166.372908,-128.935272,180.0,top
R9,144.872908,-118.435272,180.0,top
SW1,164.772908,-131.235272,270.0,bottom
U1,131.772917,-127.735271,180.0,top
U7,156.577908,-125.235272,90.0,top
U8,145.897909,-125.235272,90.0,top
